
科学研究費分類コード　ー　ReaD　コード表F

研究分野コード	研究分野名（和文）	研究分野名（英文）
5106	計測工学	Measurement Engineering
5107	制御工学	Control Engineering
5201	土木材料?施工?建設マネジメント	Civil Engineering Materials/Execution/Construction Management
5202	構造工学?地震工学?維持管理工学	Structural Engineering, Earthquake Engineering, Maintenance Management Engineering
5203	地盤工学	Soil Foundations Engineering
5204	水工水理学	Water Control Science
5205	交通工学?国土計画	Traffic Engineering, Land Planning
5206	土木環境システム	Civil Engineering Environmental System
5301	建築構造?材料	Building Construction/Material
5302	建築環境?設備	Architectural Environment/Equipment
5303	都市計画?建築計画	City Planning/Architectural Planning
5304	建築史?意匠	Architectural History/Design
5401	金属物性	Metallic Physical Properties
5402	無機材料?物性	Inorganic Material/Physical Properties
5403	複合材料?物性	Composite Materials/Physical Properties
5404	構造?機能材料	Structural/Functional Materials
5405	材料加工?処理	Material Processing/Treatment
5406	金属生産工学	Metallic Production Engineering
5501	化工物性?移動操作?単位操作	Chemical Engineering Materials Properties/Transfer Operation/Unit Operation
5502	反応工学?プロセスシステム	Reaction Engineering/Process System
5503	触媒?資源化学プロセス	Catalyst/Resource Chemical Process
5504	生物機能?バイオプロセス	Bio-Function/Bioprocesses
5601	航空宇宙工学	Aerospace Engineering
5602	船舶海洋工学	Ship Marine Engineering
5603	地球?資源システム工学	Earth Resources System Engineering
5604	リサイクル工学	Recycling Engineering
5605	核融合学	Nuclear Fusion Studies
5606	原子力学	Atomic Power Studies
5607	エネルギー学	Energy Studies
5701	遺伝?ゲノム動態	Heredity/Genome Dynamics
5702	生態?環境	Ecology/Environment
5703	植物生理?分子	Plant Physiology/Molecule
5704	形態?構造	Form/Structure
5705	動物生理?行動	Animal Physiology/Behavior
5706	生物多様性?分類	Living Organisms Diversity/Classification
5801	構造生物化学	Structural Biochemistry
5802	機能生物化学	Functional Biochemistry
5803	生物物理学	Biophysics
5804	分子生物学	Molecular Biology
5805	細胞生物学	Cell Biology
5806	発生生物学	Developmental Biology
5807	進化生物学	Evolutionary Biology
5901	人類学	Anthropology
5902	生理人類学	Physiological Anthropology
6001	育種学	Breeding Studies
6002	作物学?雑草学	Agronomy/Weed Studies
6003	園芸学?造園学	Gardening/Garden Landscaping
6004	植物病理学	Plant Pathology
6005	応用昆虫学	Applied Entomology
6101	植物栄養学?土壌学	Plant Nutrient Science/Soil Studies
6102	応用微生物学	Applied Microbiology
6103	応用生物化学	Applied Biochemistry
6104	生物生産化学?生物有機化学	Biological Production Chemistry/Biological Organic Chemistry
6105	食品科学	Food Science
6201	林学?森林工学	Forestry/Forest Engineering
6202	林産科学?木質工学	Timber Production Science/Wood Engineering
6301	水産学一般	General Fishery Studies
6302	水産化学	Fishery Chemistry
6401	農業経済学	Agronomy
6501	農業土木学?農村計画学	Agricultural Civil Engineering/Farm Village Planning Studies
6502	農業環境工学	Agricultural Environmental Engineering
6503	農業情報工学	Agricultural Information Engineering
6601	畜産学?草地学	Livestock Science/Meadow Studies
6602	応用動物科学	Applied Animal Science
6603	基礎獣医学?基礎畜産学	Basic Veterinary Science/Basic Animal Science
6604	応用獣医学	Applied Veterinary Science
6605	臨床獣医学	Clinical Veterinary Science
6701	環境農学	Environmental Agriculture
6702	応用分子細胞生物学	Applied Molecular Cell Biology
6801	化学系薬学	Chemical Pharmaceutical Science
6802	物理系薬学	Physical Pharmaceutical Science
6803	生物系薬学	Biological System Pharmaceutical Science
6804	創薬化学	Drug Development Chemistry
6805	環境系薬学	Environmental Pharmaceutical Science
6806	医療系薬学	Clinical Pharmaceutical Science
6901	解剖学一般（含組織学?発生学）	General Anatomy(includes Histology/Embryology)
6902	生理学一般	General Physiology
6903	環境生理学（含体力医学?栄養生理学）	Environmental Physiology(includes Sports Medicine/Nutritional Physiology)
6904	薬理学一般	General Pharmacology
6905	医化学一般	General Medical Chemistry
6906	病態医化学	Pathological Medical Chemistry
6907	人類遺伝学	Human Genetics
6908	人体病理学	Human Pathology
6909	実験病理学	Experimental Pathology
6910	寄生虫学（含衛生動物学）	Parasitology (includes Sanitary Zoology)
6911	細菌学（含真菌学）	Bacteriology(includes Mycology)
6912	ウイルス学	Virology
6913	免疫学	Immunology
7001	医療社会学	Medical Sociology
7002	応用薬理学	Applied Pharmacology
7003	病態検査学	Pathological Examination Studies
7101	衛生学	Hygienics
7102	公衆衛生学?健康科学	Public Hygiene Studies/Health Science
7103	法医学	Forensic Medicine
7201	内科学一般（含心身医学）	General Internal Medicine (includes Psychosomatic Medicine)
7202	消化器内科学	Digestive Organs Internal Medicine
7203	循環器内科学	Circulatory Organs Internal Medicine
7204	呼吸器内科学	Respiratory Organ Internal Medicine
7205	腎臓内科学	Kidney Internal Medicine
7206	神経内科学	Neurology
7207	代謝学	Metabolism Studies
7208	内分泌学	Endocrinology
7209	血液内科学	Hematology
7210	膠原病?アレルギー?感染症内科学	Collagen Disease/Allergy/Infectious Disease Medicine
7211	小児科学	Pediatrics
7212	胎児?新生児医学	Embryonic/Neonatal Medicine
7213	皮膚科学	Dermatology
7214	精神神経科学	Psychoneurosis Studies
7215	放射線科学	Radiation Science
7301	外科学一般	General Surgery
7302	消化器外科学	Digestive Organ Surgery
7303	胸部外科学	Thoracic Surgery
7304	脳神経外科学	Cerebral Neurosurgery
7305	整形外科学	Orthopaedic Surgery
7306	麻酔?蘇生学	Anesthesiology/Resuscitation Studies
7307	泌尿器科学	Urology
7308	産婦人科学	Obstetrics and Gynecology
7309	耳鼻咽喉科学	Otorhinolaryngology
7310	眼科学	Ophthalmology
7311	小児外科学	Infant Surgery
7312	形成外科学	Plastic Surgery Studies
7313	救急医学	Emergency Medicine
7401	形態系基礎歯科学	Morphological Basic Odontology
7402	機能系基礎歯科学	Functional Basic Odontology
7403	病態科学系歯学?歯科放射線学	Pathological Odontology, Odontological Radiology
7404	保存治療系歯学	Preservative Odontological Therapy
7405	補綴理工系歯学	Prosthetic Odontology
7406	外科系歯学	Surgical Odontology
7407	矯正?小児系歯学	Orthodontic/Infant Odontology
7408	歯周治療系歯学	Periodontal Odontology
7409	社会系歯学	Social Odontology
7501	基礎看護学	Basic Nursing Science
7502	臨床看護学	Clinical Nursing Science
7503	地域?老年看護学	Community/Elderly Nursing Science
9999	その他	The Others
